,fa,r
0,-3.277031745025275,-4.950343063840138
1,-3.3755406480687915,-5.216971727094082
2,-3.4581564135853835,-5.3039831040837155
3,-3.540394511822355,-5.46828615537499
4,-3.6159020643305007,-5.664996449621047
5,-3.682496853133439,-5.804758391996201
6,-3.810058078771458,-6.059650641624995
7,-3.921483813932375,-6.315584015762194
8,-4.017174294178629,-6.4979055725561485
9,-4.104566116293639,-6.660424502053924
10,-4.185370148708935,-6.854580516494882
11,-4.257195883280191,-7.008731196322139
12,-4.323153851071988,-7.0957425733117665
13,-4.387692372209559,-7.296413268773921
14,-4.443781838860603,-7.4141963044303045
15,-4.496425572346024,-7.4141963044303045
16,-4.551995423500835,-7.701878376882086
17,-4.595798046159228,-7.701878376882086
18,-4.641607582190522,-7.701878376882083
19,-4.689616801376883,-8.107343484990247
20,-4.722953221644475,-7.884199933676037
21,-4.766250027397799,-8.107343484990258
22,-4.8022899638809955,-8.107343484990247
23,-4.839677495952616,-8.39502555744202
24,-4.868665032825868,-8.107343484990249
25,-4.9086703674395675,-8.395025557442036
26,-4.939760954509599,-8.395025557442024
27,-4.971849269061099,-8.395025557442036
28,-5.005001476377999,-8.800490665550198
29,-5.027729727455556,-8.39502555744203
30,-5.062821047266826,-8.800490665550193
31,-5.0869185988458865,-8.800490665550198
